contrast,family,metric,delta,ci_lo,ci_hi,p_raw,p_holm,significant_holm
"BiLSTM 5D-4D [AUC]",BiLSTM,AUC,-0.005087,-0.011958,0.001357,0.129787,0.807719,False
"BiLSTM 5D-4D [PR-AUC]",BiLSTM,PR-AUC,-0.034654,-0.065125,-0.000855,0.042596,0.468553,False
"BiLSTM 5D-4D [F1@tau]",BiLSTM,F1@tau,0.027263,-0.001413,0.055463,0.061994,0.561944,False
"Transformer 5D-4D [AUC]",Transformer,AUC,0.001587,-0.003389,0.006176,0.490951,1.000000,False
"Transformer 5D-4D [PR-AUC]",Transformer,PR-AUC,0.004148,-0.004191,0.011844,0.299770,1.000000,False
"Transformer 5D-4D [F1@tau]",Transformer,F1@tau,-0.014048,-0.028049,0.000253,0.056194,0.561944,False
"GRU 5D-4D [AUC]",GRU,AUC,-0.003241,-0.009470,0.003181,0.326567,1.000000,False
"GRU 5D-4D [PR-AUC]",GRU,PR-AUC,-0.002090,-0.027583,0.022990,0.911909,1.000000,False
"GRU 5D-4D [F1@tau]",GRU,F1@tau,-0.006823,-0.020795,0.006737,0.325167,1.000000,False
"Vanilla RNN 5D-4D [AUC]",Vanilla RNN,AUC,-0.005970,-0.013706,0.001515,0.115388,0.807719,False
"Vanilla RNN 5D-4D [PR-AUC]",Vanilla RNN,PR-AUC,-0.028446,-0.057154,-0.001598,0.036596,0.439156,False
"Vanilla RNN 5D-4D [F1@tau]",Vanilla RNN,F1@tau,0.031261,-0.000960,0.063050,0.056394,0.561944,False
