family,arm,input_dim,seed,auc,pr_auc,f1,acc,tau,n_params,selected_epoch,train_seconds
BiLSTM,5D,5,42,0.882549,0.763091,0.776423,0.823812,0.485967,2237313,12,36.9
BiLSTM,5D,5,0,0.892093,0.802364,0.771790,0.816871,0.485967,2237313,7,29.3
BiLSTM,5D,5,1,0.894997,0.780594,0.766190,0.816871,0.485967,2237313,9,32.9
BiLSTM,5D,5,2,0.892707,0.787997,0.765814,0.814202,0.485967,2237313,8,31.8
BiLSTM,5D,5,3,0.899403,0.814489,0.769020,0.820075,0.485967,2237313,4,25.2
BiLSTM,4D,4,42,0.891180,0.799086,0.745486,0.766684,0.217007,2237249,1,21.6
BiLSTM,4D,4,0,0.899743,0.815402,0.760125,0.794447,0.217007,2237249,2,22.7
BiLSTM,4D,4,1,0.896158,0.812586,0.754279,0.785371,0.217007,2237249,4,25.4
BiLSTM,4D,4,2,0.897602,0.807237,0.741730,0.762413,0.217007,2237249,5,26.7
BiLSTM,4D,4,3,0.900260,0.817271,0.751179,0.774693,0.217007,2237249,2,22.6
Transformer,5D,5,42,0.898155,0.809264,0.762025,0.799253,0.271287,794241,3,18.8
Transformer,5D,5,0,0.902570,0.815332,0.750707,0.764549,0.271287,794241,6,21.9
Transformer,5D,5,1,0.898786,0.798370,0.754079,0.782702,0.271287,794241,8,24.1
Transformer,5D,5,2,0.899076,0.793707,0.760705,0.797117,0.271287,794241,7,22.9
Transformer,5D,5,3,0.886933,0.756873,0.744352,0.770422,0.271287,794241,3,18.7
Transformer,4D,4,42,0.898458,0.806082,0.766907,0.810464,0.435443,794113,3,18.9
Transformer,4D,4,0,0.896943,0.807962,0.764522,0.798719,0.435443,794113,2,18.4
Transformer,4D,4,1,0.895485,0.768347,0.757688,0.789642,0.435443,794113,4,20.0
Transformer,4D,4,2,0.891389,0.799253,0.750614,0.783235,0.435443,794113,5,21.3
Transformer,4D,4,3,0.897309,0.794878,0.755556,0.788574,0.435443,794113,2,18.1
GRU,5D,5,42,0.873679,0.743047,0.746770,0.790710,0.475253,1678209,8,23.0
GRU,5D,5,0,0.874431,0.757871,0.743855,0.788574,0.475253,1678209,11,25.8
GRU,5D,5,1,0.899761,0.813525,0.760491,0.801922,0.475253,1678209,1,15.9
GRU,5D,5,2,0.894681,0.788289,0.769644,0.816871,0.475253,1678209,2,16.9
GRU,5D,5,3,0.865841,0.739032,0.679842,0.783769,0.475253,1678209,9,23.8
GRU,4D,4,42,0.885810,0.748030,0.758127,0.801388,0.443966,1678145,1,16.0
GRU,4D,4,0,0.892069,0.795554,0.776439,0.821676,0.443966,1678145,4,19.2
GRU,4D,4,1,0.881363,0.735851,0.758276,0.793380,0.443966,1678145,4,19.6
GRU,4D,4,2,0.893704,0.806074,0.751763,0.812066,0.443966,1678145,1,16.1
GRU,4D,4,3,0.882586,0.731689,0.768212,0.813134,0.443966,1678145,4,18.9
Vanilla RNN,5D,5,42,0.897103,0.781296,0.784895,0.829685,0.509128,560001,10,11.5
Vanilla RNN,5D,5,0,0.891657,0.774678,0.773098,0.821676,0.509128,560001,13,12.9
Vanilla RNN,5D,5,1,0.889410,0.769498,0.760962,0.819541,0.509128,560001,9,11.1
Vanilla RNN,5D,5,2,0.867830,0.761382,0.693489,0.776295,0.509128,560001,26,18.9
Vanilla RNN,5D,5,3,0.890220,0.787883,0.763871,0.804592,0.509128,560001,5,9.2
Vanilla RNN,4D,4,42,0.899182,0.810471,0.762269,0.800854,0.173846,559937,1,7.3
Vanilla RNN,4D,4,0,0.887131,0.776533,0.732329,0.753337,0.173846,559937,4,8.6
Vanilla RNN,4D,4,1,0.896956,0.805868,0.760248,0.793914,0.173846,559937,1,7.5
Vanilla RNN,4D,4,2,0.896409,0.807679,0.712387,0.711159,0.173846,559937,1,7.4
Vanilla RNN,4D,4,3,0.888413,0.768332,0.742857,0.769354,0.173846,559937,6,9.7
