model,seed,best_epoch,auc,f1,acc,prec,rec
bilstm_bbox_only,42,7,0.7324851156608501,0.565015479876161,0.731614135625597,0.5973813420621932,0.5359765051395007
bilstm_bbox_only,0,48,0.7770523968228729,0.5395189003436426,0.7440305635148042,0.650103519668737,0.461086637298091
bilstm_bbox_only,1,29,0.7687240258019461,0.5861262665627436,0.7464183381088825,0.6245847176079734,0.5521292217327459
bilstm_bbox_only,2,74,0.7323593691056302,0.5110294117647058,0.7459407831900668,0.683046683046683,0.40822320117474303
bilstm_bbox_only,3,6,0.7554177539586783,0.553082191780822,0.7507163323782235,0.6632443531827515,0.47430249632892807
bilstm_attention,42,14,0.9227656344017633,0.8283852280955829,0.8868194842406877,0.8171428571428572,0.8399412628487518
bilstm_attention,0,9,0.9298162749297743,0.8066298342541437,0.8662846227316141,0.7614080834419817,0.8575624082232012
bilstm_attention,1,3,0.9308310808072304,0.8305084745762712,0.8853868194842407,0.8,0.8634361233480177
bilstm_attention,2,3,0.9323431571530564,0.8184245660881175,0.8701050620821394,0.7503059975520195,0.9001468428781204
bilstm_attention,3,7,0.9089023364957033,0.8220015278838808,0.8887297039159503,0.856687898089172,0.7900146842878121
