set_id,video_id,ped_id,split,reason
gp_set_0001,gp_set_0001_vid_0001,gp_101,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_106,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_107,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_108,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_109,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_113,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_114,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_116,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_117,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_120,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_121,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_124,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_128,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_130,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_132,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_134,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_135,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_137,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_139,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_14,train,crossing_point_not_in_track
gp_set_0001,gp_set_0001_vid_0001,gp_141,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_143,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_145,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_147,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_149,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_15,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_150,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_151,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_152,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_165,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_173,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_176,train,no_POI_attributes
gp_set_0001,gp_set_0001_vid_0001,gp_184,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_185,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_190,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_192,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_201,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_202,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_204,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_205,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_206,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_210,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_211,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_213,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_215,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_216,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_38,train,no_POI_attributes
gp_set_0001,gp_set_0001_vid_0001,gp_40,train,no_POI_attributes
gp_set_0001,gp_set_0001_vid_0001,gp_41,train,no_POI_attributes
gp_set_0001,gp_set_0001_vid_0001,gp_43,train,no_POI_attributes
gp_set_0001,gp_set_0001_vid_0001,gp_52,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_54,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_55,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_57,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_58,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_61,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_62,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_64,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_66,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_68,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_69,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_7,train,crossing_point_not_in_track
gp_set_0001,gp_set_0001_vid_0001,gp_70,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_77,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_82,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_83,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_86,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_87,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_88,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_89,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_91,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_92,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_93,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_94,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_95,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_96,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gp_97,train,track_too_short
gp_set_0001,gp_set_0001_vid_0001,gpo_172,train,no_POI_attributes
gp_set_0001,gp_set_0001_vid_0002,gp_391,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_401,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_411,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_415,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_416,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_417,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_421,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_427,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_430,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_431,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_432,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_436,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_437,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_449,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_452,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_453,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_457,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_458,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_459,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_465,train,no_POI_attributes
gp_set_0001,gp_set_0001_vid_0002,gp_466,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_467,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_469,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_471,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_485,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_488,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_489,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_490,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_491,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_493,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_494,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_495,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_496,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_499,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_500,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_501,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_502,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_503,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_509,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_510,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_512,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_515,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_516,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_517,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_520,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_524,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_528,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_548,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_5487,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_5489,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_5499,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_5501,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_5531,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_5534,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_560,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_561,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_563,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_566,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_567,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_570,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_572,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_573,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_574,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_575,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_576,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_588,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_592,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_603,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_609,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_611,train,track_too_short
gp_set_0001,gp_set_0001_vid_0002,gp_613,train,track_too_short
gp_set_0001,gp_set_0001_vid_0003,gp-136,train,no_POI_attributes
gp_set_0001,gp_set_0001_vid_0003,gp-73,train,no_POI_attributes
gp_set_0001,gp_set_0001_vid_0003,gp_100,train,track_too_short
gp_set_0001,gp_set_0001_vid_0003,gp_102,train,track_too_short
gp_set_0001,gp_set_0001_vid_0003,gp_110,train,track_too_short
gp_set_0001,gp_set_0001_vid_0003,gp_111,train,track_too_short
gp_set_0001,gp_set_0001_vid_0003,gp_146,train,track_too_short
gp_set_0001,gp_set_0001_vid_0003,gp_15,train,no_POI_attributes
gp_set_0001,gp_set_0001_vid_0003,gp_153,train,track_too_short
gp_set_0001,gp_set_0001_vid_0003,gp_161,train,track_too_short
gp_set_0001,gp_set_0001_vid_0003,gp_164,train,no_POI_attributes
gp_set_0001,gp_set_0001_vid_0003,gp_179,train,track_too_short
gp_set_0001,gp_set_0001_vid_0003,gp_18,train,track_too_short
gp_set_0001,gp_set_0001_vid_0003,gp_187,train,track_too_short
gp_set_0001,gp_set_0001_vid_0003,gp_194,train,track_too_short
gp_set_0001,gp_set_0001_vid_0003,gp_220,train,track_too_short
gp_set_0001,gp_set_0001_vid_0003,gp_25,train,crossing_point_not_in_track
gp_set_0001,gp_set_0001_vid_0003,gp_250,train,track_too_short
gp_set_0001,gp_set_0001_vid_0003,gp_3,train,track_too_short
gp_set_0001,gp_set_0001_vid_0003,gp_32,train,track_too_short
gp_set_0001,gp_set_0001_vid_0003,gp_33,train,crossing_point_not_in_track
gp_set_0001,gp_set_0001_vid_0003,gp_37,train,no_POI_attributes
gp_set_0001,gp_set_0001_vid_0003,gp_533,train,track_too_short
gp_set_0001,gp_set_0001_vid_0003,gp_534,train,track_too_short
gp_set_0001,gp_set_0001_vid_0003,gp_536,train,track_too_short
gp_set_0001,gp_set_0001_vid_0003,gp_544,train,crossing_point_not_in_track
gp_set_0001,gp_set_0001_vid_0003,gp_569,train,track_too_short
gp_set_0001,gp_set_0001_vid_0003,gp_578,train,track_too_short
gp_set_0001,gp_set_0001_vid_0003,gp_582,train,track_too_short
gp_set_0001,gp_set_0001_vid_0003,gp_583,train,track_too_short
gp_set_0001,gp_set_0001_vid_0003,gp_586,train,track_too_short
gp_set_0001,gp_set_0001_vid_0003,gp_67,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_1115,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_1121,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_155,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_156,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_347,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_348,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_349,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_350,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_351,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_352,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_354,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_358,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_362,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_363,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_367,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_392,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_393,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_418,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_438,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_439,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_441,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_444,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_455,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_460,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_462,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_463,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_465,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_468,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_476,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_482,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_483,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_484,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_487,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_492,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_507,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_514,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_522,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_525,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_527,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_532,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_543,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_547,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_577,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_579,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_584,train,crossing_point_not_in_track
gp_set_0001,gp_set_0001_vid_0005,gp_585,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_595,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_610,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_616,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_624,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_625,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_626,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_628,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_629,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_630,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_631,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_632,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_633,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_634,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_637,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_638,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_639,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_640,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_645,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_646,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_648,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_649,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_650,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_660,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_666,train,crossing_point_not_in_track
gp_set_0001,gp_set_0001_vid_0005,gp_668,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_671,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_673,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_676,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_678,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_680,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_682,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_683,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_686,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_687,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_692,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_694,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_695,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_698,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_699,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_708,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_713,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_714,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_717,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_722,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_723,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_726,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_729,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_733,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_735,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_748,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_760,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_762,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_770,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_772,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_773,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_776,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_778,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_779,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_780,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_781,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_785,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_786,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_789,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_791,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_806,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_807,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_809,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_811,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_813,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_818,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_822,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_823,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_827,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_830,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_833,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_834,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_836,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_839,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_840,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_841,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_849,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_850,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_851,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_861,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_863,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_897,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_899,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_900,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_907,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_913,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_915,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_919,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_928,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_929,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_931,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_932,train,track_too_short
gp_set_0001,gp_set_0001_vid_0005,gp_945,train,track_too_short
