variant,set_id,video_id,ped_id,split,label,anchor_frame,window_first_frame,crossing_point,onset_frame,tte,n_crossing_frames_in_window,all_frames_crossing,anchor_is_crossing,onset_at_or_before_window_end,bbox_bottom_y,bbox_height,bbox_xcenter,bbox_area
naive,gp_set_0001,gp_set_0001_vid_0001,gp_1,train,0,374,359,446,,72,0,0,0,0,921.4,66.22000000000003,759.52,1629.0120000000022
naive,gp_set_0001,gp_set_0001_vid_0001,gp_1,train,0,382,367,446,,64,0,0,0,0,928.1,72.25,744.755,1870.5525000000073
naive,gp_set_0001,gp_set_0001_vid_0001,gp_1,train,0,390,375,446,,56,0,0,0,0,933.7,82.16000000000008,723.22,2362.9216000000015
naive,gp_set_0001,gp_set_0001_vid_0001,gp_1,train,0,398,383,446,,48,0,0,0,0,937.2,89.70000000000005,690.385,2539.4069999999965
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_1,train,0,386,371,446,,60,0,0,0,0,931.78,76.50999999999999,734.125,2052.763299999994
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_1,train,0,394,379,446,,52,0,0,0,0,938.23,87.80000000000007,704.825,2650.681999999997
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_1,train,0,402,387,446,,44,0,0,0,0,938.77,92.94999999999993,676.81,3195.6209999999974
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_1,train,0,410,395,446,,36,0,0,0,0,946.3,111.9799999999999,636.5150000000001,4603.497799999997
strict,gp_set_0001,gp_set_0001_vid_0001,gp_1,train,0,386,371,446,,60,0,0,0,0,931.78,76.50999999999999,734.125,2052.763299999994
strict,gp_set_0001,gp_set_0001_vid_0001,gp_1,train,0,394,379,446,,52,0,0,0,0,938.23,87.80000000000007,704.825,2650.681999999997
strict,gp_set_0001,gp_set_0001_vid_0001,gp_1,train,0,402,387,446,,44,0,0,0,0,938.77,92.94999999999993,676.81,3195.6209999999974
strict,gp_set_0001,gp_set_0001_vid_0001,gp_1,train,0,410,395,446,,36,0,0,0,0,946.3,111.9799999999999,636.5150000000001,4603.497799999997
naive,gp_set_0001,gp_set_0001_vid_0001,gp_10,train,0,119,104,191,,72,0,0,0,0,915.06,112.90999999999997,285.315,4476.881499999996
naive,gp_set_0001,gp_set_0001_vid_0001,gp_10,train,0,127,112,191,,64,0,0,0,0,918.28,115.63999999999999,301.075,4594.377200000002
naive,gp_set_0001,gp_set_0001_vid_0001,gp_10,train,0,135,120,191,,56,0,0,0,0,925.72,128.12,307.94,5012.054400000001
naive,gp_set_0001,gp_set_0001_vid_0001,gp_10,train,0,143,128,191,,48,0,0,0,0,937.8,142.89999999999998,312.105,7317.908999999996
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_10,train,0,131,116,191,,60,0,0,0,0,916.6,120.58000000000004,305.76,4856.9623999999985
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_10,train,0,139,124,191,,52,0,0,0,0,932.98,135.76,306.225,6004.664799999994
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_10,train,0,147,132,191,,44,0,0,0,0,938.5,144.08000000000004,306.895,7378.336799999999
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_10,train,0,155,140,191,,36,0,0,0,0,939.88,142.89,300.495,7317.396900000004
strict,gp_set_0001,gp_set_0001_vid_0001,gp_10,train,0,131,116,191,,60,0,0,0,0,916.6,120.58000000000004,305.76,4856.9623999999985
strict,gp_set_0001,gp_set_0001_vid_0001,gp_10,train,0,139,124,191,,52,0,0,0,0,932.98,135.76,306.225,6004.664799999994
strict,gp_set_0001,gp_set_0001_vid_0001,gp_10,train,0,147,132,191,,44,0,0,0,0,938.5,144.08000000000004,306.895,7378.336799999999
strict,gp_set_0001,gp_set_0001_vid_0001,gp_10,train,0,155,140,191,,36,0,0,0,0,939.88,142.89,300.495,7317.396900000004
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_103,train,0,7814,7799,7847,,33,0,0,0,0,887.7,43.04000000000008,594.405,731.2496000000017
strict,gp_set_0001,gp_set_0001_vid_0001,gp_103,train,0,7814,7799,7847,,33,0,0,0,0,887.7,43.04000000000008,594.405,731.2496000000017
cp_anchor,gp_set_0001,gp_set_0001_vid_0001,gp_104,train,0,7814,7799,7846,,32,0,0,0,0,887.03,40.51999999999998,577.145,668.9851999999993
strict,gp_set_0001,gp_set_0001_vid_0001,gp_104,train,0,7814,7799,7846,,32,0,0,0,0,887.03,40.51999999999998,577.145,668.9851999999993
