set_id,video_id,ped_id,split,width,height,n_frames,first_frame,last_frame,n_segments,has_attributes,crossing_label,crossing_point,cp_in_track,cp_in_frame_range,usable_len_to_cp,onset_frame,n_crossing_frames,n_ci_frames,n_unmapped_cb,speed_coverage,bbox_degenerate,bbox_out_of_frame,dup_frames
gp_set_0001,gp_set_0001_vid_0001,gp_10,train,1920,1440,134,61,194,1,1,0,191,1,1,131,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_11,train,1920,1440,143,61,203,1,1,0,200,1,1,140,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_5,train,1920,1440,174,83,256,1,1,0,253,1,1,171,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_12,train,1920,1440,100,111,210,1,1,0,207,1,1,97,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_3,train,1920,1440,183,38,220,1,1,0,217,1,1,180,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_6,train,1920,1440,80,155,234,1,1,0,231,1,1,77,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_7,train,1920,1440,117,129,245,1,1,0,-10,0,0,,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_4,train,1920,1440,218,58,275,1,1,0,272,1,1,215,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_8,train,1920,1440,55,212,266,1,1,0,263,1,1,52,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_9,train,1920,1440,160,190,349,1,1,0,346,1,1,157,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_1,train,1920,1440,188,262,449,1,1,0,446,1,1,185,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_2,train,1920,1440,185,262,446,1,1,0,443,1,1,182,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_15,train,1920,1440,40,2982,3021,1,1,0,3018,1,1,37,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_13,train,1920,1440,212,2231,2442,1,1,0,2439,1,1,209,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_14,train,1920,1440,169,2821,2989,1,1,0,-10,0,0,,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_38,train,1920,1440,73,4398,4470,1,0,,,0,0,,4398,73,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_40,train,1920,1440,53,5094,5146,1,0,,,0,0,,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_41,train,1920,1440,50,5106,5155,1,0,,,0,0,,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_43,train,1920,1440,170,5333,5502,1,0,,,0,0,,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_46,train,1920,1440,58,6536,6593,1,1,0,6590,1,1,55,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_48,train,1920,1440,54,6546,6599,1,1,0,6596,1,1,51,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_49,train,1920,1440,50,6553,6602,1,1,0,6599,1,1,47,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_50,train,1920,1440,63,6584,6646,1,1,0,6643,1,1,60,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_52,train,1920,1440,48,6603,6650,1,1,0,6647,1,1,45,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_54,train,1920,1440,29,6763,6791,1,1,0,6788,1,1,26,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_55,train,1920,1440,32,6781,6812,1,1,0,6809,1,1,29,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_57,train,1920,1440,47,6786,6832,1,1,0,6829,1,1,44,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_58,train,1920,1440,47,6792,6838,1,1,0,6835,1,1,44,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_59,train,1920,1440,49,6801,6849,1,1,0,6846,1,1,46,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_60,train,1920,1440,58,6801,6858,1,1,0,6855,1,1,55,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_61,train,1920,1440,40,6855,6894,1,1,1,6891,1,1,37,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_62,train,1920,1440,38,6877,6914,1,1,0,6905,1,1,29,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_64,train,1920,1440,33,6838,6870,1,1,0,6867,1,1,30,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_65,train,1920,1440,55,6838,6892,1,1,0,6889,1,1,52,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_66,train,1920,1440,32,6877,6908,1,1,0,6905,1,1,29,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_68,train,1920,1440,25,6892,6916,1,1,0,6913,1,1,22,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_69,train,1920,1440,32,6893,6924,1,1,0,6921,1,1,29,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_70,train,1920,1440,30,6904,6933,1,1,0,6930,1,1,27,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_72,train,1920,1440,61,6986,7046,1,1,0,7043,1,1,58,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_74,train,1920,1440,119,6986,7104,1,1,0,7101,1,1,116,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_75,train,1920,1440,121,6986,7106,1,1,0,7103,1,1,118,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_77,train,1920,1440,43,7069,7111,1,1,0,7108,1,1,40,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_78,train,1920,1440,50,7221,7270,1,1,0,7267,1,1,47,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_79,train,1920,1440,73,7307,7379,1,1,0,7376,1,1,70,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_80,train,1920,1440,76,7307,7382,1,1,0,7379,1,1,73,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_82,train,1920,1440,24,7981,8004,1,1,0,8001,1,1,21,7981,24,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_83,train,1920,1440,25,7981,8005,1,1,0,8002,1,1,22,7981,25,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_86,train,1920,1440,34,8109,8142,1,1,0,8139,1,1,31,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_87,train,1920,1440,25,8218,8242,1,1,0,8239,1,1,22,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_88,train,1920,1440,35,8251,8285,1,1,0,8282,1,1,32,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_89,train,1920,1440,40,8251,8290,1,1,0,8287,1,1,37,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_91,train,1920,1440,33,8284,8316,1,1,0,8313,1,1,30,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_92,train,1920,1440,34,8284,8317,1,1,0,8314,1,1,31,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_93,train,1920,1440,33,8371,8403,1,1,0,8400,1,1,30,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_94,train,1920,1440,19,8418,8436,1,1,0,8433,1,1,16,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_95,train,1920,1440,29,8420,8448,1,1,0,8445,1,1,26,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_96,train,1920,1440,27,8420,8446,1,1,0,8443,1,1,24,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_97,train,1920,1440,28,8420,8447,1,1,0,8444,1,1,25,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_101,train,1920,1440,36,7658,7693,1,1,0,7690,1,1,33,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_103,train,1920,1440,52,7799,7850,1,1,0,7847,1,1,49,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_104,train,1920,1440,51,7799,7849,1,1,0,7846,1,1,48,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_106,train,1920,1440,37,8420,8456,1,1,0,8453,1,1,34,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_107,train,1920,1440,21,8480,8500,1,1,0,8497,1,1,18,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_108,train,1920,1440,32,8494,8525,1,1,0,8522,1,1,29,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_109,train,1920,1440,34,8494,8527,1,1,0,8524,1,1,31,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_113,train,1920,1440,35,8537,8571,1,1,0,8568,1,1,32,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_114,train,1920,1440,33,8538,8570,1,1,0,8567,1,1,30,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_116,train,1920,1440,14,8562,8575,1,1,0,8572,1,1,11,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_117,train,1920,1440,34,8595,8628,1,1,0,8625,1,1,31,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_120,train,1920,1440,38,8917,8954,1,1,0,8951,1,1,35,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_121,train,1920,1440,32,8917,8948,1,1,0,8945,1,1,29,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_122,train,1920,1440,51,8917,8967,1,1,0,8964,1,1,48,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_124,train,1920,1440,31,9062,9092,1,1,0,9089,1,1,28,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_125,train,1920,1440,51,9090,9140,1,1,0,9137,1,1,48,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_128,train,1920,1440,37,9954,9990,1,1,0,9987,1,1,34,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_130,train,1920,1440,29,9992,10020,1,1,0,10017,1,1,26,,0,0,0,1.0,0,0,0
gp_set_0001,gp_set_0001_vid_0001,gp_132,train,1920,1440,27,9992,10018,1,1,0,10015,1,1,24,,0,0,0,1.0,0,0,0
