experiment,protocol,coord,model,n_test,n_pos,auc_mean,auc_std,pr_auc_mean,pr_auc_std,f1_at_0p5_mean,f1_at_0p5_std,acc_at_0p5_mean,f1_at_tau_mean,f1_at_tau_std,acc_at_tau_mean,prec_at_tau_mean,rec_at_tau_mean,tau_pie_val,ens_auc,ens_pr_auc,ens_f1_at_tau,ens_acc_at_tau,auc_ci_lo,auc_ci_hi
A_zero_shot,strict,rescale,BiLSTM-F1,2357,168,0.6751161108573169,0.07546673883673895,0.1394791040555583,0.02969384869696489,0.13098850159789044,0.0005534335209233015,0.07789563003818414,0.1310512432008507,0.0005442590742095238,0.07840475180313958,0.0702466183229341,0.975,0.526692008972168,0.7234032717701059,0.15780237745843745,0.1310951239008793,0.07764106915570641,0.6428742653650794,0.7966906704713007
A_zero_shot,strict,rescale,Transformer-F1,2357,168,0.6981275424742762,0.07479694628460017,0.1757104111510373,0.020822821669565922,0.12972728874795075,0.0011635348671783189,0.07899872719558762,0.12962828940050714,0.0010719443858577928,0.07933814170555792,0.06949705676206039,0.9619047619047618,0.5152586281299592,0.7522936652961778,0.19295980578349858,0.12910986367281477,0.07848960543063216,0.6724167626002877,0.8224615340132212
A_zero_shot,strict,rescale,GRU-F1,2357,168,0.7128586656224847,0.07418292443696617,0.17333168069161398,0.03600374527319121,0.12924788830309275,0.0012680766653177839,0.07619855748833262,0.12907202885722663,0.0010538567571575942,0.07704709376325838,0.06918962333863733,0.9595238095238094,0.5376381039619446,0.7221293154082099,0.1613381189160058,0.1286970423661071,0.07509546033092915,0.6366341528529871,0.8010719420746062
A_zero_shot,strict,rescale,Vanilla_RNN-F1,2357,168,0.7195854815201549,0.06930850565113443,0.17215808667074356,0.03726564215056574,0.1296270162017366,0.0023274697122268296,0.08273228680526093,0.12962746694866017,0.0023873213668319706,0.08273228680526093,0.06951535276196259,0.9583333333333334,0.49524826407432554,0.7130838173551741,0.13841540259888943,0.12947326095697628,0.08145948239287229,0.6314493159256521,0.7854833759874174
A_zero_shot,strict,raw,BiLSTM-F1,2357,168,0.7462860841001545,0.026216112440850627,0.2471807779953686,0.055320295394688565,0.2570007018450061,0.03647235281222847,0.6874840899448451,0.2683931284676796,0.035035150146792454,0.7084429359355112,0.16588090724161908,0.7309523809523809,0.526692008972168,0.7580189910591921,0.2799869092265202,0.2680628272251309,0.7034365719134493,,
A_zero_shot,strict,raw,Transformer-F1,2357,168,0.7784545019469642,0.012577889859940574,0.2755423866202452,0.026049396815709145,0.24884735113393094,0.0305518140466686,0.6650827322868053,0.25556565151435867,0.049809776084114306,0.6701739499363597,0.15498554401646653,0.763095238095238,0.5152586281299592,0.7844770388740239,0.29357105697877095,0.25825825825825827,0.6856173101400085,,
A_zero_shot,strict,raw,GRU-F1,2357,168,0.7209203484957253,0.034383381085859824,0.23915067426438413,0.04019688622602697,0.22508301260997973,0.021972995618738424,0.6464997878659313,0.2311828145047993,0.023927478428406007,0.6633008061094612,0.13885222866382696,0.7023809523809523,0.5376381039619446,0.734386216798277,0.23550929549714597,0.23609756097560974,0.6677980483665676,,
A_zero_shot,strict,raw,Vanilla_RNN-F1,2357,168,0.7533220757466988,0.016328058681035092,0.2863364433643624,0.029595028905170146,0.24589153146109002,0.03927298355878111,0.6612643190496394,0.24368428529949085,0.03851106925842812,0.6599915146372508,0.1467794453081675,0.744047619047619,0.49524826407432554,0.7643139942134918,0.29605485990118513,0.25819265143992054,0.6830717013152312,,
A_zero_shot,cp_anchor,rescale,BiLSTM-F1,2583,211,0.6489486345436091,0.0695014375846267,0.1478388133418697,0.03364542898338775,0.14918145072780714,0.0006449729902172583,0.08765001935733643,0.14924598281754053,0.0006369893011114794,0.08811459543166861,0.08077938921181042,0.9791469194312796,0.526692008972168,0.6927852992655228,0.1669026727401901,0.14940454709491158,0.08749516066589237,,
A_zero_shot,cp_anchor,rescale,Transformer-F1,2583,211,0.661840349096489,0.07103901105440634,0.18341777995849434,0.015094520332772607,0.14808629466386644,0.0011890292626402373,0.0886566008517228,0.14800475309981137,0.000994741567797004,0.08896631823461092,0.08012328859911069,0.9687203791469194,0.5152586281299592,0.7078564692342735,0.191314346554362,0.1476655808903366,0.08826945412311266,,
