experiment,protocol,variant,model,n_params,pos_weight,n_test,n_test_pos,auc_mean,auc_std,pr_auc_mean,pr_auc_std,f1_at_0p5_mean,f1_at_tau_mean,f1_at_tau_std,acc_at_tau_mean,prec_at_tau_mean,rec_at_tau_mean,tau_val,ens_auc,ens_pr_auc,ens_f1_at_tau,ens_acc_at_tau,auc_ci_lo,auc_ci_hi,device
B_independent,strict,5d,BiLSTM-F1,2237313,27.58,2357,168,0.737483412734669,0.02317151476837202,0.21817447861776867,0.041581219120250465,0.2500425664151587,0.23259765196448612,0.016111841773857268,0.7624098430207891,0.1522129061363976,0.5011904761904762,0.41953226923942566,0.7546852226500468,0.25173990888692716,0.2262210796915167,0.7445905812473483,0.676331066995311,0.8255355894284698,mps
B_independent,strict,5d,Transformer-F1,794241,27.58,2357,168,0.7679014662054863,0.004863710905919015,0.22436335292222923,0.035514407670390706,0.25073187552581483,0.25727963442919666,0.02250922156425859,0.8165464573610521,0.18514270333812607,0.4428571428571429,0.6429232239723206,0.7758190302160152,0.29527606156060077,0.26570915619389585,0.8264743317776835,0.7075037876260557,0.838100324872784,mps
B_independent,strict,5d,GRU-F1,1678209,27.58,2357,168,0.7205774543714242,0.009006590107625216,0.15983893599647536,0.02988945758090333,0.2235915445571915,0.20434978922263722,0.05129722604373186,0.7792108612643192,0.1600506610755476,0.405952380952381,0.649989253282547,0.7339021949574713,0.14922618804219323,0.25161290322580643,0.8031395842172253,0.6608056356175132,0.8010085920619182,mps
B_independent,strict,5d,Vanilla_RNN-F1,560001,27.58,2357,168,0.6853455589636495,0.01699236684575495,0.14880043573729013,0.03185114723494714,0.2123366666876656,0.19603620691208584,0.046624181807862645,0.8586338565973696,0.18062355902659952,0.25595238095238093,0.8265440821647644,0.7039771367660814,0.15842096893212587,0.22712933753943218,0.8960543063215952,0.622092536088348,0.7811941126262137,mps
B_independent,strict,4d_bbox_only,BiLSTM-F1,2237249,27.58,2357,168,0.708029867954491,0.04786153219589457,0.21726500799972187,0.053633763731842525,0.2454511213684766,0.2525641868283488,0.013454765652808834,0.8735680950360628,0.4446705266060104,0.30833333333333335,0.7894363880157471,0.7208662359416128,0.26553471005611945,0.22857142857142856,0.9198133220195164,0.6348879062653283,0.7991537409837779,mps
B_independent,strict,4d_bbox_only,Transformer-F1,794113,27.58,2357,168,0.7309178468098068,0.016851149613690962,0.1606105089071115,0.048304398712780784,0.23799531384401576,0.24442012215552483,0.03294046547609992,0.7724225710649131,0.1620335617876385,0.5261904761904762,0.58709676861763,0.7285915508277316,0.1334796562345548,0.2988505747126437,0.7929571489181162,0.6517482664840927,0.7982629018505865,mps
B_independent,strict,4d_bbox_only,GRU-F1,1678145,27.58,2357,168,0.6920440949335422,0.042483672859102324,0.2234922323741078,0.02723349914286088,0.21923791853621216,0.20706475113863196,0.04267703714008387,0.8670343657191344,0.2558150301353878,0.24761904761904763,0.8572237968444825,0.7106718658226195,0.26653821189005766,0.18823529411764706,0.8536274925753076,0.6284226603421617,0.7879156592336535,mps
B_independent,strict,4d_bbox_only,Vanilla_RNN-F1,559937,27.58,2357,168,0.7305945310970436,0.010194852372702849,0.20202013990517037,0.06350289613917055,0.24448672123058715,0.24505791974833024,0.031068295853437497,0.8672889266016123,0.26875801734872884,0.31071428571428567,0.7974373936653137,0.7346010354804325,0.16754092734643883,0.2154566744730679,0.8578701739499364,0.6528325194402634,0.8093606287235204,mps
B_independent,cp_anchor,5d,BiLSTM-F1,2237313,17.701,2583,211,0.7399033351182437,0.030487187745001476,0.3618085128427877,0.06430789066938015,0.31150397987108064,0.33290767178264563,0.08135396948062323,0.851800232288037,0.28236445625437545,0.4274881516587678,0.5251342758536339,0.7560580388897324,0.40429327993653974,0.34686346863468637,0.8629500580720093,,,mps
B_independent,cp_anchor,5d,Transformer-F1,794241,17.701,2583,211,0.7764987252543497,0.019481659700999722,0.2748510540851394,0.036939160872288046,0.2788786276530981,0.2920513220884399,0.027058924058660016,0.7494386372435151,0.19282121841703542,0.6284360189573459,0.5232619881629944,0.784695859274474,0.37043023415079507,0.2817796610169492,0.7375145180023229,,,mps
B_independent,cp_anchor,5d,GRU-F1,1678209,17.701,2583,211,0.7635382783341192,0.020642565801326573,0.3544882061558804,0.01560284329012848,0.29124190997186716,0.2974386323393977,0.026261218022304612,0.8005420054200542,0.2102241423692835,0.5137440758293839,0.5824705362319946,0.7630951144074231,0.39393117941494504,0.3183183183183183,0.8242353852109949,,,mps
B_independent,cp_anchor,5d,Vanilla_RNN-F1,560001,17.701,2583,211,0.7134819337771633,0.04454953738187324,0.2573429249796685,0.062115024260380805,0.2679625482117064,0.3195686091547866,0.0437230794037177,0.8292682926829269,0.2574981696005364,0.46824644549763034,0.7066383063793182,0.7508351781846663,0.326161286275749,0.3487179487179487,0.8524970963995354,,,mps
