dataset,model,protocol,acc,prec,rec,f1,auc,pr_auc,auc_ci_lo,auc_ci_hi
PIE,BiLSTM-F1,in-domain clean 5-D,0.897,,,0.844,0.94,,,
PIE,Transformer-F1,in-domain clean 5-D,0.896,,,0.847,0.947,,,
PIE,GRU-F1,in-domain clean 5-D,0.901,,,0.849,0.941,,,
PIE,Vanilla RNN-F1,in-domain clean 5-D,0.902,,,0.852,0.948,,,
IDD-PeD,BiLSTM-F1,A_zero_shot,0.07840475180313958,0.0702466183229341,0.975,0.1310512432008507,0.6751161108573169,0.1394791040555583,0.6428742653650794,0.7966906704713007
IDD-PeD,Transformer-F1,A_zero_shot,0.07933814170555792,0.06949705676206039,0.9619047619047618,0.12962828940050714,0.6981275424742762,0.1757104111510373,0.6724167626002877,0.8224615340132212
IDD-PeD,GRU-F1,A_zero_shot,0.07704709376325838,0.06918962333863733,0.9595238095238094,0.12907202885722663,0.7128586656224847,0.17333168069161398,0.6366341528529871,0.8010719420746062
IDD-PeD,Vanilla RNN-F1,A_zero_shot,0.08273228680526093,0.06951535276196259,0.9583333333333334,0.12962746694866017,0.7195854815201549,0.17215808667074356,0.6314493159256521,0.7854833759874174
IDD-PeD,BiLSTM-F1,B_independent_5d,0.7624098430207891,0.1522129061363976,0.5011904761904762,0.23259765196448612,0.737483412734669,0.21817447861776867,0.676331066995311,0.8255355894284698
IDD-PeD,Transformer-F1,B_independent_5d,0.8165464573610521,0.18514270333812607,0.4428571428571429,0.25727963442919666,0.7679014662054863,0.22436335292222923,0.7075037876260557,0.838100324872784
IDD-PeD,GRU-F1,B_independent_5d,0.7792108612643192,0.1600506610755476,0.405952380952381,0.20434978922263722,0.7205774543714242,0.15983893599647536,0.6608056356175132,0.8010085920619182
IDD-PeD,Vanilla RNN-F1,B_independent_5d,0.8586338565973696,0.18062355902659952,0.25595238095238093,0.19603620691208584,0.6853455589636495,0.14880043573729013,0.622092536088348,0.7811941126262137
IDD-PeD,BiLSTM-F1,B_independent_4d,0.8735680950360628,0.4446705266060104,0.30833333333333335,0.2525641868283488,0.708029867954491,0.21726500799972187,0.6348879062653283,0.7991537409837779
IDD-PeD,Transformer-F1,B_independent_4d,0.7724225710649131,0.1620335617876385,0.5261904761904762,0.24442012215552483,0.7309178468098068,0.1606105089071115,0.6517482664840927,0.7982629018505865
IDD-PeD,GRU-F1,B_independent_4d,0.8670343657191344,0.2558150301353878,0.24761904761904763,0.20706475113863196,0.6920440949335422,0.2234922323741078,0.6284226603421617,0.7879156592336535
IDD-PeD,Vanilla RNN-F1,B_independent_4d,0.8672889266016123,0.26875801734872884,0.31071428571428567,0.24505791974833024,0.7305945310970436,0.20202013990517037,0.6528325194402634,0.8093606287235204
