idx,video_id,ped_id,label,anchor_frame,n_frames_annotated_in_window,n_crossing_in_window,anchor_is_crossing,window_has_leakage,crossing_onset_frame,anchor_minus_onset,bbox_bottom_y,bbox_height,bbox_xcenter,bbox_area
0,video_0003,0_3_7b,1,129,16,0,False,False,0.0,129.0,872.0,205.0,1325.0,18040.0
1,video_0004,0_4_10b,0,73,16,0,False,False,,,855.0,181.0,546.5,12851.0
2,video_0006,0_6_32b,1,284,16,16,True,True,80.0,204.0,873.0,198.0,644.5,16038.0
3,video_0006,0_6_27b,1,284,16,16,True,True,127.0,157.0,857.0,157.0,791.5,7693.0
4,video_0006,0_6_33b,1,284,16,16,True,True,87.0,197.0,860.0,174.0,735.0,10440.0
5,video_0007,0_7_40b,0,34,16,3,True,True,32.0,2.0,756.0,130.0,1470.5,6630.0
6,video_0008,0_8_44b,0,66,16,0,False,False,,,785.0,165.0,1389.0,11220.0
7,video_0009,0_9_46b,0,51,16,0,False,False,,,735.0,91.0,817.0,3094.0
8,video_0010,0_10_51b,0,38,16,0,False,False,,,720.0,79.0,866.5,2133.0
9,video_0011,0_11_56b,1,210,16,16,True,True,0.0,210.0,781.0,134.0,1309.5,8442.0
10,video_0012,0_12_57b,1,63,16,16,True,True,0.0,63.0,696.0,65.0,1146.0,1430.0
11,video_0014,0_14_62b,1,211,16,16,True,True,0.0,211.0,784.0,160.0,1265.5,12640.0
12,video_0016,0_16_72b,1,68,16,16,True,True,0.0,68.0,758.0,116.0,746.5,5220.0
13,video_0016,0_16_67b,1,115,16,16,True,True,0.0,115.0,839.0,213.0,702.0,20874.0
14,video_0020,0_20_86b,1,460,16,16,True,True,381.0,79.0,906.0,343.0,1450.5,56595.0
15,video_0021,0_21_92b,0,125,16,0,False,False,,,804.0,168.0,1212.5,10584.0
16,video_0025,0_25_107b,1,156,16,16,True,True,0.0,156.0,732.0,134.0,560.5,7102.0
17,video_0025,0_25_104b,1,155,16,16,True,True,20.0,135.0,746.0,159.0,579.5,12561.0
18,video_0025,0_25_102b,1,159,16,16,True,True,20.0,139.0,746.0,163.0,575.5,10595.0
19,video_0025,0_25_106b,1,159,16,16,True,True,42.0,117.0,753.0,157.0,686.5,9891.0
20,video_0025,0_25_101b,1,164,16,16,True,True,57.0,107.0,745.0,134.0,703.0,7772.0
21,video_0025,0_25_100b,1,164,16,16,True,True,42.0,122.0,759.0,167.0,663.0,12692.0
22,video_0027,0_27_119b,1,104,16,16,True,True,71.0,33.0,853.0,153.0,1077.5,13923.0
23,video_0028,0_28_125b,1,194,16,16,True,True,42.0,152.0,1079.0,313.0,627.5,37873.0
24,video_0030,0_30_134b,1,104,16,16,True,True,0.0,104.0,861.0,159.0,1149.0,9540.0
25,video_0031,0_31_155b,1,232,16,0,False,False,0.0,232.0,830.0,195.0,1635.5,17745.0
26,video_0031,0_31_149b,1,249,16,16,True,True,68.0,181.0,898.0,223.0,1289.0,13826.0
27,video_0035,0_35_163b,0,89,16,16,True,True,0.0,89.0,795.0,172.0,1077.0,12040.0
28,video_0037,0_37_168b,0,192,16,0,False,False,0.0,192.0,1009.0,358.0,1700.5,48330.0
29,video_0038,0_38_178b,1,535,16,16,True,True,0.0,535.0,993.0,391.0,1860.0,46138.0
30,video_0039,0_39_192b,1,314,16,16,True,True,0.0,314.0,954.0,211.0,820.0,16458.0
