idx,set_id,video_id,ped_id,label,anchor_frame,n_frames_annotated_in_window,n_crossing_in_window,anchor_is_crossing,window_has_leakage,crossing_onset_frame,anchor_minus_onset,bbox_bottom_y,bbox_height,bbox_xcenter,bbox_area
0,set01,video_0001,1_1_1,0,1073,16,0,False,False,,,902.1900024414062,92.27001953125,1194.2100219726562,2251.3907292485237
1,set01,video_0001,1_1_1,0,1081,16,0,False,False,,,911.6400146484375,102.6700439453125,1238.3299560546875,3336.7764282226562
2,set01,video_0001,1_1_1,0,1089,16,0,False,False,,,921.0999755859375,115.8699951171875,1285.280029296875,3851.5175061523914
3,set01,video_0001,1_1_1,0,1097,16,0,False,False,,,928.1599731445312,133.62994384765625,1331.8150024414062,5493.525034107268
4,set01,video_0001,1_1_2,0,1079,16,0,False,False,,,895.239990234375,87.3499755859375,1227.6099853515625,2639.7137031257153
5,set01,video_0001,1_1_2,0,1087,16,0,False,False,,,909.4000244140625,98.73004150390625,1270.39501953125,3138.631876051426
6,set01,video_0001,1_1_2,0,1095,16,0,False,False,,,913.6799926757812,115.95001220703125,1311.4150390625,4321.459219604731
7,set01,video_0001,1_1_2,0,1103,16,0,False,False,,,912.3200073242188,131.5,1364.2599487304688,4981.220642089844
8,set01,video_0001,1_1_3,0,1403,16,0,False,False,,,861.3599853515625,68.72998046875,1218.5399780273438,1178.0328720211983
9,set01,video_0001,1_1_3,0,1411,16,0,False,False,,,869.1699829101562,81.969970703125,1245.4600219726562,1795.1443596184254
10,set01,video_0001,1_1_3,0,1419,16,0,False,False,,,875.8599853515625,91.94000244140625,1278.260009765625,2098.077140673995
11,set01,video_0001,1_1_3,0,1427,16,0,False,False,,,875.5499877929688,102.04998779296875,1319.9750366210938,2564.5166915282607
12,set01,video_0001,1_1_4,0,1397,16,0,False,False,,,867.719970703125,83.7099609375,1225.0599975585938,2142.972956299782
13,set01,video_0001,1_1_4,0,1405,16,0,False,False,,,873.760009765625,95.1300048828125,1250.4749755859375,2714.0618263185024
14,set01,video_0001,1_1_4,0,1413,16,0,False,False,,,877.6699829101562,107.79998779296875,1283.905029296875,3017.3206055909395
15,set01,video_0001,1_1_4,0,1421,16,0,False,False,,,887.1500244140625,126.050048828125,1329.2099609375,4031.0780996084213
16,set01,video_0001,1_1_5,0,1458,16,0,False,False,,,873.8300170898438,70.3900146484375,799.1749877929688,2034.977729395032
