idx,set_id,video_id,ped_id,label,anchor_frame,n_frames_annotated_in_window,n_crossing_in_window,anchor_is_crossing,window_has_leakage,crossing_onset_frame,anchor_minus_onset,bbox_bottom_y,bbox_height,bbox_xcenter,bbox_area
0,set01,video_0001,1_1_1,0,1090,16,0,False,False,,,922.8900146484375,118.05999755859375,1287.1000366210938,4439.053025878966
1,set01,video_0001,1_1_2,0,1096,16,0,False,False,,,913.8200073242188,117.42999267578125,1317.2349853515625,4376.618120580912
2,set01,video_0001,1_1_3,0,1420,16,0,False,False,,,875.2999877929688,93.17999267578125,1283.1300048828125,2137.543572217226
3,set01,video_0001,1_1_4,0,1414,16,0,False,False,,,879.0,109.4000244140625,1289.1699829101562,3157.2831020504236
4,set01,video_0001,1_1_5,0,1475,16,0,False,False,,,889.2000122070312,90.02001953125,733.2149963378906,3940.1725187003613
5,set01,video_0001,1_1_6,0,1473,16,0,False,False,,,887.2000122070312,52.8900146484375,726.875,954.6673469245434
6,set01,video_0001,1_1_9,0,15255,16,0,False,False,,,855.5900268554688,69.69000244140625,511.19500732421875,1570.117796704173
7,set01,video_0001,1_1_20,0,16510,16,0,False,False,,,853.2999877929688,89.3699951171875,358.7049865722656,2435.3323669433594
8,set01,video_0001,1_1_21,0,16526,16,0,False,False,,,883.0599975585938,113.739990234375,1426.7899780273438,4165.157887011766
9,set01,video_0001,1_1_8,0,10068,16,0,False,False,,,857.7999877929688,70.260009765625,1245.3550415039062,1692.5612337887287
10,set01,video_0001,1_1_18,0,14022,16,0,False,False,,,860.8499755859375,74.04998779296875,559.8000183105469,1660.1994608156383
11,set01,video_0001,1_1_19,0,14016,16,0,False,False,,,864.969970703125,76.30999755859375,554.2999877929688,1707.818117968738
12,set01,video_0001,1_1_17,0,13967,16,0,False,False,,,860.239990234375,85.8399658203125,1284.6400146484375,2817.2735461890697
13,set01,video_0001,1_1_10,0,16396,16,0,False,False,,,858.3300170898438,98.32000732421875,1451.0549926757812,1998.8414281979203
14,set01,video_0001,1_1_11,0,16518,16,0,False,False,,,872.5999755859375,127.3699951171875,1451.85498046875,4930.487535595894
15,set01,video_0002,1_2_53,0,4665,16,0,False,False,,,881.1799926757812,84.70001220703125,1315.0599975585938,3067.8423000499606
16,set01,video_0002,1_2_23,1,5199,16,8,True,True,5192.0,7.0,846.5999755859375,147.30999755859375,120.19000244140625,8370.155140209943
17,set01,video_0002,1_2_32,1,7863,16,16,True,True,7764.0,99.0,1053.0999755859375,298.8800048828125,859.7799987792969,37981.676128320396
18,set01,video_0002,1_2_33,1,7856,16,16,True,True,7758.0,98.0,1062.9000244140625,313.32000732421875,781.2900085449219,47217.328928466886
19,set01,video_0002,1_2_34,1,8281,16,16,True,True,8134.0,147.0,1052.0,318.58001708984375,694.3349914550781,42259.6276002191
20,set01,video_0002,1_2_35,1,8270,16,16,True,True,8137.0,133.0,1059.6099853515625,333.739990234375,647.9700012207031,48192.04236792028
21,set01,video_0002,1_2_36,0,8710,16,0,False,False,,,971.4000244140625,375.6400146484375,1831.14501953125,31767.901717334986
22,set01,video_0002,1_2_42,1,12487,16,16,True,True,12306.0,181.0,952.8200073242188,237.07000732421875,377.2049865722656,21514.10316467285
23,set01,video_0002,1_2_44,1,12524,16,16,True,True,12296.0,228.0,956.4400024414062,241.58001708984375,311.9600067138672,17142.51594841294
24,set01,video_0002,1_2_45,1,12524,16,16,True,True,12319.0,205.0,941.7000122070312,223.989990234375,287.51000213623047,14823.659330975264
25,set01,video_0002,1_2_39,1,12697,16,16,True,True,12274.0,423.0,952.3599853515625,156.76995849609375,981.6300048828125,9384.247419141233
26,set01,video_0002,1_2_40,1,12684,16,16,True,True,12301.0,383.0,963.9000244140625,176.72003173828125,891.8099975585938,12720.304432958364
27,set01,video_0002,1_2_57,0,12283,16,0,False,False,,,820.010009765625,149.1099853515625,59.08999824523926,5839.147003614809
28,set01,video_0002,1_2_58,0,12315,16,0,False,False,,,840.6300048828125,154.34002685546875,93.29000091552734,6195.208583776839
29,set01,video_0002,1_2_22,1,5195,16,15,True,True,5181.0,14.0,871.9299926757812,169.719970703125,161.17000579833984,10122.098949145526
