model,seed,roc_auc,roc_lo,roc_hi,pr_auc,pr_lo,pr_hi
baseline,42,0.9131143264817049,0.8972278010319308,0.9281530160494688,0.8562915624223069,0.8258171310313367,0.8857353505502306
baseline,0,0.93342395399131,0.9208238483160773,0.9456589677340042,0.866201039116294,0.8353013752589415,0.8980458689614306
baseline,1,0.9431885377338393,0.9314708207575837,0.9543824832164032,0.8920023040485829,0.8638159044828746,0.9186007314520958
baseline,2,0.9362953402067853,0.9237908302691336,0.9480463210045453,0.8957343523079125,0.8722913898962805,0.9172183576997863
baseline,3,0.9358224915900496,0.9236645508993214,0.9473171335981816,0.8674934503279716,0.8377966388180306,0.898135765723
bbox_only,42,0.7324851156608501,0.7084812905285155,0.7560459632325773,0.6092106066842975,0.5706610821555566,0.6485937627327655
bbox_only,0,0.7770523968228729,0.7558962806894955,0.7981241912365956,0.6243246829825659,0.5862075829876215,0.663220832193192
bbox_only,1,0.7687240258019461,0.7476672506833253,0.7895968577847697,0.5900202317989939,0.5508040009527857,0.630498710348474
bbox_only,2,0.7323593691056302,0.7085945250745732,0.7561421664834298,0.6035473049114485,0.5648667250076712,0.643203522922359
bbox_only,3,0.7554177539586783,0.7320884150936743,0.7780845277314687,0.6240770609278935,0.5857110887040088,0.663286451630945
attention,42,0.9227656344017633,0.9086134110157584,0.9359578519192749,0.8681249467712423,0.8402865532070644,0.8942054860089579
attention,0,0.9298147160881806,0.917135137578868,0.9417264990859516,0.8633650329490232,0.8332440245979195,0.8940889695684545
attention,1,0.9308310808072304,0.9179117300614057,0.9432931680239995,0.8691721660538473,0.8392398649627597,0.9001684263578373
attention,2,0.9323431571530564,0.9197272507403087,0.9442804269072937,0.872040000950305,0.8434297039639796,0.8998051444527595
attention,3,0.9089023364957033,0.8937048827563847,0.9231843093479463,0.8514114633811144,0.8222173699293087,0.8791055076487524
