video,ped,anchor,label,detected,cov,miou,switch,purity,frag,gt_prob,yolo_prob
video_0012,3_12_721,1057,0,0,0.438,0.891,0,0.571,5,0.0194,
video_0012,3_12_721,1065,0,0,0.312,0.844,0,0.4,11,0.0183,
video_0012,3_12_721,1073,0,0,0.438,0.882,0,0.429,9,0.0086,
video_0012,3_12_721,1081,0,1,0.75,0.895,1,0.417,4,0.0055,0.0056
video_0012,3_12_723,2481,0,1,1.0,0.833,1,0.562,0,0.2418,0.235
video_0012,3_12_723,2489,0,1,1.0,0.889,0,0.938,0,0.3295,0.3131
video_0012,3_12_723,2497,0,1,1.0,0.925,0,1.0,0,0.0196,0.0214
video_0012,3_12_723,2505,0,1,1.0,0.925,0,0.812,0,0.006,0.006
video_0012,3_12_724,2514,0,1,0.875,0.823,1,0.286,1,0.4846,0.6526
video_0012,3_12_724,2522,0,1,0.875,0.8,1,0.357,2,0.2094,0.2798
video_0012,3_12_724,2530,0,1,0.938,0.834,1,0.2,0,0.1244,0.1352
video_0012,3_12_724,2538,0,1,1.0,0.805,1,0.25,0,0.0744,0.1377
video_0012,3_12_725,499,0,1,1.0,0.862,1,0.562,0,0.3784,0.3768
video_0012,3_12_725,507,0,1,1.0,0.851,1,0.562,0,0.0064,0.0071
video_0012,3_12_725,515,0,1,1.0,0.852,0,0.75,0,0.0217,0.0399
video_0012,3_12_725,523,0,1,1.0,0.873,0,0.875,0,0.0061,0.006
video_0012,3_12_728,2924,0,1,0.875,0.566,1,0.214,2,0.0056,0.0058
video_0012,3_12_728,2932,0,1,0.938,0.553,1,0.267,0,0.0049,0.005
video_0012,3_12_728,2940,0,1,1.0,0.568,1,0.25,0,0.0041,0.0043
video_0012,3_12_728,2948,0,1,0.875,0.614,1,0.214,2,0.0033,0.0033
video_0012,3_12_730,2901,0,1,0.562,0.469,0,0.222,4,0.0086,0.0068
video_0012,3_12_730,2909,0,0,0.188,0.48,0,0.667,12,0.0079,
video_0012,3_12_730,2917,0,0,0.25,0.471,0,0.5,5,0.0066,
video_0012,3_12_730,2925,0,1,0.688,0.629,0,0.182,1,0.0056,0.0057
video_0012,3_12_731,2931,0,0,0.25,0.653,0,0.5,0,0.0069,
video_0012,3_12_731,2939,0,1,0.5,0.593,0,0.375,6,0.0063,0.0068
video_0012,3_12_731,2947,0,1,0.562,0.626,0,0.222,7,0.0046,0.0045
video_0012,3_12_731,2955,0,1,0.688,0.759,0,0.182,4,0.0038,0.0038
video_0012,3_12_735,2975,0,0,0.0,0.0,0,0.0,16,0.005,
video_0012,3_12_735,2983,0,0,0.25,0.608,0,0.5,1,0.0041,
video_0012,3_12_735,2991,0,0,0.25,0.608,0,0.5,1,0.0041,
video_0012,3_12_735,2999,0,0,0.0,0.0,0,0.0,16,0.0042,
video_0012,3_12_752,8412,0,1,0.938,0.604,1,0.2,1,0.0092,0.0091
video_0012,3_12_752,8420,0,1,1.0,0.677,1,0.25,0,0.0074,0.0068
video_0012,3_12_752,8428,0,1,1.0,0.616,1,0.312,0,0.0098,0.0083
video_0012,3_12_752,8436,0,1,1.0,0.529,1,0.312,0,0.0057,0.0042
video_0012,3_12_754,8492,0,0,0.0,0.0,0,0.0,16,0.0707,
video_0012,3_12_754,8500,0,0,0.125,0.724,0,0.5,1,0.0201,
video_0012,3_12_754,8508,0,0,0.375,0.774,0,0.167,8,0.0077,
video_0012,3_12_754,8516,0,1,0.75,0.823,0,0.333,2,0.005,0.0052
video_0012,3_12_757,11316,0,1,1.0,0.791,1,0.312,0,0.4959,0.7247
video_0012,3_12_757,11324,0,1,1.0,0.786,1,0.312,0,0.2077,0.4464
video_0012,3_12_757,11332,0,1,1.0,0.8,1,0.188,0,0.0752,0.0463
video_0012,3_12_757,11340,0,1,1.0,0.782,1,0.188,0,0.1487,0.1158
video_0012,3_12_758,11311,0,0,0.062,0.524,0,1.0,0,0.8866,
video_0012,3_12_758,11319,0,0,0.0,0.0,0,0.0,16,0.737,
video_0012,3_12_758,11327,0,0,0.062,0.41,0,1.0,0,0.4795,
video_0012,3_12_759,11311,0,1,0.5,0.601,1,0.375,4,0.117,0.159
video_0012,3_12_759,11319,0,0,0.438,0.641,0,0.429,6,0.1301,
video_0012,3_12_759,11327,0,1,0.875,0.672,1,0.214,2,0.1305,0.1056
video_0012,3_12_759,11335,0,1,1.0,0.64,1,0.188,0,0.0387,0.0382
video_0012,3_12_761,11403,0,0,0.438,0.686,0,0.286,3,0.007,
video_0012,3_12_761,11411,0,1,0.562,0.722,0,0.222,6,0.0072,0.0071
video_0012,3_12_761,11419,0,1,0.562,0.749,0,0.556,7,0.0076,0.0071
video_0012,3_12_761,11427,0,1,0.812,0.833,0,0.231,2,0.0052,0.0054
video_0012,3_12_763,11406,0,0,0.312,0.78,0,0.4,6,0.0071,
video_0012,3_12_763,11414,0,1,0.625,0.76,0,0.3,6,0.009,0.0096
video_0012,3_12_763,11422,0,1,0.75,0.747,1,0.333,3,0.0075,0.0083
video_0012,3_12_763,11430,0,1,0.812,0.787,0,0.154,3,0.0051,0.0052
video_0012,3_12_764,11424,0,1,0.938,0.771,0,0.267,1,0.0128,0.015
video_0012,3_12_764,11432,0,1,1.0,0.8,1,0.25,0,0.0074,0.0081
video_0012,3_12_764,11440,0,1,0.938,0.844,1,0.2,1,0.0047,0.0048
video_0012,3_12_764,11448,0,1,0.875,0.848,1,0.286,1,0.003,0.0031
video_0012,3_12_765,11403,0,0,0.438,0.619,0,0.286,3,0.0068,
video_0012,3_12_765,11411,0,1,0.562,0.675,0,0.222,6,0.0072,0.0071
video_0012,3_12_765,11419,0,1,0.562,0.704,0,0.556,7,0.0076,0.0071
video_0012,3_12_765,11427,0,1,0.812,0.782,0,0.231,2,0.005,0.0054
video_0012,3_12_766,11417,0,1,0.625,0.789,0,0.2,5,0.0136,0.015
video_0012,3_12_766,11425,0,1,0.75,0.761,1,0.333,0,0.0091,0.0095
video_0012,3_12_766,11433,0,1,1.0,0.71,0,0.25,0,0.0061,0.0065
