hidden,n_params,seed,best_epoch,auc,pr_auc,f1,acc,prec,rec
64,166401,42,4,0.9284,0.8728,0.8213,0.8892,0.8639,0.7827
64,166401,0,3,0.9403,0.8895,0.8299,0.8911,0.8437,0.8164
64,166401,1,2,0.9161,0.8321,0.7134,0.8438,0.8848,0.5977
64,166401,2,2,0.921,0.8594,0.8351,0.8949,0.853,0.8179
64,166401,3,7,0.9311,0.8736,0.8478,0.8973,0.8183,0.8796
128,594561,42,17,0.9216,0.8764,0.8206,0.8801,0.7994,0.8429
128,594561,0,2,0.9357,0.8515,0.8451,0.8983,0.8372,0.8532
128,594561,1,4,0.9396,0.8847,0.824,0.8754,0.7618,0.8972
128,594561,2,10,0.9335,0.8653,0.8121,0.8696,0.7642,0.8664
128,594561,3,7,0.9363,0.8714,0.8393,0.8906,0.8038,0.8781
256,2237313,42,15,0.9418,0.8815,0.8398,0.894,0.8255,0.8546
256,2237313,0,4,0.938,0.8822,0.834,0.8863,0.7942,0.8781
256,2237313,1,7,0.9376,0.8722,0.8361,0.8949,0.8487,0.8238
256,2237313,2,15,0.937,0.8768,0.8323,0.8859,0.797,0.8708
256,2237313,3,8,0.9345,0.8782,0.8321,0.884,0.7859,0.884
