horizon_frames,tte_seconds,seed,n_train,n_test,test_pos,auc,pr_auc,f1,acc,prec,rec
30,1.0,42,519,493,0.3266,0.9609,0.9113,0.8657,0.9087,0.8333,0.9006
30,1.0,0,519,493,0.3266,0.9667,0.9227,0.8519,0.9026,0.8466,0.8571
30,1.0,1,519,493,0.3266,0.965,0.9173,0.8634,0.9108,0.8634,0.8634
30,1.0,2,519,493,0.3266,0.9608,0.9271,0.8448,0.8905,0.7861,0.913
30,1.0,3,519,493,0.3266,0.9494,0.8953,0.8487,0.8966,0.8125,0.8882
45,1.5,42,519,493,0.3266,0.9434,0.8766,0.817,0.8864,0.8621,0.7764
45,1.5,0,519,493,0.3266,0.9463,0.8765,0.8608,0.9128,0.8986,0.8261
45,1.5,1,519,493,0.3266,0.9483,0.8698,0.8788,0.9189,0.858,0.9006
45,1.5,2,519,493,0.3266,0.952,0.8897,0.8649,0.9087,0.8372,0.8944
45,1.5,3,519,493,0.3266,0.9409,0.8888,0.8598,0.9087,0.8625,0.8571
60,2.0,42,519,493,0.3266,0.9107,0.8498,0.791,0.8682,0.82,0.764
60,2.0,0,519,493,0.3266,0.9284,0.846,0.7612,0.86,0.8594,0.6832
60,2.0,1,519,493,0.3266,0.9188,0.8501,0.7815,0.8661,0.8369,0.7329
60,2.0,2,519,493,0.3266,0.926,0.8467,0.8314,0.8824,0.7814,0.8882
60,2.0,3,519,493,0.3266,0.9095,0.8453,0.7666,0.8641,0.873,0.6832
